jersey,name,url,position,class,hometown,high_school,team,division,season
27,Nathaniel Gray,https://www.larochesports.com/sports/msoc/2024-25/bios/gray_nathaniel_xrlc,Defender,Sophomore,"Derry, Pa.",Derry Area HS,La Roche,III,2024
28,Faustin Kabayiza,https://www.larochesports.com/sports/msoc/2024-25/bios/kabayiza_faustin_fvfh,,Freshman,"Pittsburgh, Pa.",Baldwin HS,La Roche,III,2024
29,Christian Mushayuma,https://www.larochesports.com/sports/msoc/2024-25/bios/mushayuma_christian_ffb0,,Freshman,"Baltimore, Md.",Cristo Rey Jesuit HS,La Roche,III,2024
30,Austin Emery,https://www.larochesports.com/sports/msoc/2024-25/bios/emery_austin_2kyd,,Freshman,"Jeannette, Pa.",Jeannette HS,La Roche,III,2024
31,Logan McQueen,https://www.larochesports.com/sports/msoc/2024-25/bios/mcqueen_logan_zfj5,Goalkeeper,Junior,"Smithton, Pa.",Yough HS,La Roche,III,2024
35,Ramadhan Hamis Nkubas,https://www.larochesports.com/sports/msoc/2024-25/bios/hamis_nkubas_ramadhan_95v5,Forward,Sophomore,"Arusha, Tanzania",St. Peter Claver HS,La Roche,III,2024
00,Antonio Centracchio,https://www.lasell.edu/sports/msoc/2024-25/bios/centracchio_antonio_r4ok,Goalkeeper,Senior,"Springfield, Mass.",Springfield Central,Lasell,III,2024
1,Cameron McDonough,https://www.lasell.edu/sports/msoc/2024-25/bios/mcdonough_cameron_7g0a,Goalkeeper,Senior,"Melrose, Massachusetts",Melrose,Lasell,III,2024
2,John Pryce,https://www.lasell.edu/sports/msoc/2024-25/bios/pryce_john_qnxe,Defense/Midfield,Senior,"Hartford, Connecticut",Capital Prep Magnet,Lasell,III,2024
3,Jake Flad,https://www.lasell.edu/sports/msoc/2024-25/bios/flad_jake_k762,Defender,Senior,"Glastonbury, Connecticut",Glastonbury,Lasell,III,2024
4,William McFadyen,https://www.lasell.edu/sports/msoc/2024-25/bios/mcfadyen_william_7j9w,Defense,Junior,"Tewksbury, Massachusetts",Lowell Catholic,Lasell,III,2024
5,Ryan Klopchin,https://www.lasell.edu/sports/msoc/2024-25/bios/klopchin_ryan_gkvs,Midfield,Junior,"Butler, New Jersey",Butler,Lasell,III,2024
6,Daniel Augustine,https://www.lasell.edu/sports/msoc/2024-25/bios/augustine_daniel_cx1a,Defense,Sophomore,"Bolton, Massachusetts",Nashoba Regional,Lasell,III,2024
7,Liam Thompson,https://www.lasell.edu/sports/msoc/2024-25/bios/thompson_liam_sjnl,Midfield,Junior,"Jericho, Vermont",Mount Mansfield Union,Lasell,III,2024
8,Vaughn Kimball,https://www.lasell.edu/sports/msoc/2024-25/bios/kimball_vaughn_63mi,Forward,Junior,"Mendon, Massachusetts",Willow Hill,Lasell,III,2024
9,Dillon Winkelmann,https://www.lasell.edu/sports/msoc/2024-25/bios/winkelmann_dillon_gxf8,Midfield,Junior,"Spencer, Massachusetts",Auburn,Lasell,III,2024
10,Michael Guzzone,https://www.lasell.edu/sports/msoc/2024-25/bios/guzzone_michael_1oes,Midfielder,Senior,"Shoreham, New York",Shoreham-Wading River,Lasell,III,2024
11,Jonathan Leone,https://www.lasell.edu/sports/msoc/2024-25/bios/leone_jonathan_wkdr,Defense/Midfield,Senior,"Reading, Massachusetts",Reading Memorial,Lasell,III,2024
12,Ryan Dinoff,https://www.lasell.edu/sports/msoc/2024-25/bios/dinoff_ryan_clmx,Forward,Sophomore,"Nashua, Massachusetts",Nashua North,Lasell,III,2024
13,Jeremy Perez,https://www.lasell.edu/sports/msoc/2024-25/bios/perez_jeremy_5dtd,Defense,Junior,"Tewksbury, Massachusetts",Shawsheen Valley Technical,Lasell,III,2024
15,Owen O'Brien,https://www.lasell.edu/sports/msoc/2024-25/bios/o-brien_owen_6vy5,Forward,Sophomore,"Fiskdale, Massachusetts",Tantasqua Regional,Lasell,III,2024
16,Masato Takeshita,https://www.lasell.edu/sports/msoc/2024-25/bios/takeshita_masato_p14b,Forward/Midfield,Sophomore,"Chigasaki, Japan",Sha Tin College,Lasell,III,2024
18,Avery Reid,https://www.lasell.edu/sports/msoc/2024-25/bios/reid_avery_vfws,Forward,Sophomore,"North Dartmouth, Massachusetts",Dartmouth,Lasell,III,2024
19,Girish Raghunathan,https://www.lasell.edu/sports/msoc/2024-25/bios/raghunathan_girish_wynw,Forward/Midfield,Sophomore,"West Roxbury, Massachusetts",Boston Latin,Lasell,III,2024
20,John Zaslow,https://www.lasell.edu/sports/msoc/2024-25/bios/zaslow_john_yfza,Defense/Midfield,Senior,"Trumbull, Connecticut",Trumbull,Lasell,III,2024
21,Shane Previti,https://www.lasell.edu/sports/msoc/2024-25/bios/previti_shane_zssm,Forward,Senior,"Lakeville, Massachusetts",Apponequet Regional,Lasell,III,2024
22,Mpumelelo Maphumulo,https://www.lasell.edu/sports/msoc/2024-25/bios/maphumulo_mpumelelo_x2ce,Forward,Graduate,"Pietermaritzburg, South Africa",Maritzburg,Lasell,III,2024
24,Luke Karpowich,https://www.lasell.edu/sports/msoc/2024-25/bios/karpowich_luke_riuc,Defense,Sophomore,"Cranston, Rhode Island",Bishop Hendricken,Lasell,III,2024
25,Dante Mills,https://www.lasell.edu/sports/msoc/2024-25/bios/mills_dante_9npz,Defense,Freshman,"Narragansett, Rhode Island",Prout,Lasell,III,2024
26,Logan Gitzen,https://www.lasell.edu/sports/msoc/2024-25/bios/gitzen_logan_6qa9,Midfield,Freshman,"Clayton, Wisconsin",Clayton,Lasell,III,2024
27,Brent Bickel,https://www.lasell.edu/sports/msoc/2024-25/bios/bickel_brent_pwpo,Midfield,Freshman,"Reno, Nevada",Galena,Lasell,III,2024
28,Rafael Romero-Aparicio,https://www.lasell.edu/sports/msoc/2024-25/bios/romero-aparicio_rafael_rj4g,Forward,Senior,"Sanlucar de Barrameda, Cadiz",Colegio Guadalete,Lasell,III,2024
29,Michael Calabrese,https://www.lasell.edu/sports/msoc/2024-25/bios/calabrese_michael_5s33,Forward,Freshman,"Enfield, Connecticut",Enfield,Lasell,III,2024
30,Antonio Calabrese,https://www.lasell.edu/sports/msoc/2024-25/bios/calabrese_antonio_r9tq,Midfield,Freshman,"Enfield, Connecticut",Enfield,Lasell,III,2024
31,Johnny Celli,https://www.lasell.edu/sports/msoc/2024-25/bios/celli_johnny_z31q,Defense,Freshman,"Newtown, Connecticut",Newtown,Lasell,III,2024
32,Addison Tyimok,https://www.lasell.edu/sports/msoc/2024-25/bios/tyimok_addison_c6u0,Defense,Freshman,"Pomfret, Connecticut",Woodstock Academy,Lasell,III,2024
99,Aidan Heipler,https://www.lasell.edu/sports/msoc/2024-25/bios/heipler_aidan_ougx,Goalkeeper,Freshman,"Melrose, Massachusetts",Melrose,Lasell,III,2024
0,Josiah Williams,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/williams_josiah_gwj8,GK,Senior,"Durham, N.C.",Middle College,Lesley,III,2024
1,William Martinez,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/martinez_william_nsbo,GK,First Year,"Lynn, Mass.",Lynn Voc-Technical Institute,Lesley,III,2024
2,Adrian Esparragoza,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/esparragoza_adrian_9vu3,D,Junior,"New York, N.Y.",Tottenville,Lesley,III,2024
3,Tucker Rogers,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/rogers_tucker_c7p0,D,First Year,"New York, N.Y.",Litchfield,Lesley,III,2024
4,Paul Adebowale,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/adebowale_paul_6a5u,D,Junior,"Basingstoke, United Kingdom",Basingstoke Football Academy,Lesley,III,2024
5,Aidan Stafford,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/stafford_aidan_693a,M,Junior,"Westford, Mass.",Westford Academy,Lesley,III,2024
6,Miles Brajdic,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/brajdic_miles_4b2y,D,Junior,"Atlanta, Ga.",Pinecrest Academy,Lesley,III,2024
7,Miguel Vasconcelos,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/vasconcelos_miguel_2gd6,M,Sophomore,"Sharon, Mass.",Sharon,Lesley,III,2024
8,Hyunseung Kim,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/kim_hyunseung_h6yb,D,Junior,"Gwangju, South Korea",Global Vision Christian School,Lesley,III,2024
9,Cameron DaRosa,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/darosa_cameron_1kz1,F,Sophomore,"Wells, Me.",Wells,Lesley,III,2024
10,DJ Cronin,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/cronin_dj_v7kf,M,Senior,"New York, N.Y.",Horace Greeley,Lesley,III,2024
11,Osmyn Atwood,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/atwood_osmyn_gil7,F,Sophomore,"New York, N.Y.",Proctor,Lesley,III,2024
12,Caleb Race,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/race_caleb_2juf,M,Sophomore,"Wellington, Fla.",Palm Beach Central,Lesley,III,2024
14,Marc Kenny Derac,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/derac_marc_kenny_wkqy,F,Sophomore,"Waltham, Mass.",Waltham,Lesley,III,2024
16,Wassim Chaib,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/chaib_wassim_lw77,F,First Year,"East Boston, Mass.",Excel Academy Charter,Lesley,III,2024
17,Daniel Excell,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/excell_daniel_3v12,D,First Year,"New Hartford, N.Y.",New Hartford Sr.,Lesley,III,2024
18,Yik Ka Lam,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/lam_yik_ka_y8gu,M,Junior,"Hong Kong, China",SWCS Chan Pak Sha School,Lesley,III,2024
20,Ciledson Segundo,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/segundo_ciledson_fojo,M,First Year,"Dedham, Mass.",Norwood,Lesley,III,2024
21,Anthony DeNicola,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/denicola_anthony_7vyc,F,First Year,"Saunderstown, R.I.",North Kingston,Lesley,III,2024
22,Tyler Fortin,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/fortin_tyler_blra,M,Sophomore,"Farmington, Conn.",Farmington,Lesley,III,2024
23,Nick Wadleigh,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/wadleigh_nick_fb1z,M,Junior,"Glastonbury, Conn.",Glastonbury,Lesley,III,2024
35,Aiden Hendricks,https://www.lesleyathletics.com/sports/msoc/2024-25/bios/hendricks_aiden_0pcr,GK,Sophomore,"Richmond, Va.",Appomattox Regional Governor's School,Lesley,III,2024
00,Casey Foley,https://www.moraviansports.com/sports/msoc/2024-25/bios/foley_casey_noqh,GK,Jr.,"Langhorne, Pa.",Neshaminy,Moravian,III,2024
0,Casey Prajzner,https://www.moraviansports.com/sports/msoc/2024-25/bios/prajzner_casey_8rjo,GK,Jr.,"Furlong, Pa.",Central Bucks East,Moravian,III,2024
1,Christian Beebe,https://www.moraviansports.com/sports/msoc/2024-25/bios/beebe_christian_oilu,GK,Gr.,"East Stroudsburg, Pa.",Stroudsburg,Moravian,III,2024
2,Donald Gibbs,https://www.moraviansports.com/sports/msoc/2024-25/bios/gibbs_donald_ax1g,D,Gr.,"Glenside, Pa.",Abington,Moravian,III,2024
3,Aidan Costa,https://www.moraviansports.com/sports/msoc/2024-25/bios/costa_aidan_1bx5,D,So.,"Martinsville, N.J.",Bridgewater Raritan,Moravian,III,2024
4,Vito Leone,https://www.moraviansports.com/sports/msoc/2024-25/bios/leone_vito_531b,D,Gr.,"Lower Gwynedd, Pa.",LaSalle College,Moravian,III,2024
5,Matt Benolken,https://www.moraviansports.com/sports/msoc/2024-25/bios/benolken_matt_68ji,F,Jr.,"Bangor, Pa.",Notre Dame Green Pond,Moravian,III,2024
6,Colin Monahan,https://www.moraviansports.com/sports/msoc/2024-25/bios/monahan_colin_2xby,D,Jr.,"Perkasie, Pa.",Pennridge,Moravian,III,2024
7,Giuseppe Propato,https://www.moraviansports.com/sports/msoc/2024-25/bios/propato_giuseppe_5umu,MF,So.,"Hartsville, Pa.",Archbishop Wood,Moravian,III,2024
8,Ryan Latchford,https://www.moraviansports.com/sports/msoc/2024-25/bios/latchford_ryan_zupf,MF,So.,"Macungie, Pa.",Emmaus,Moravian,III,2024
9,Tyler King,https://www.moraviansports.com/sports/msoc/2024-25/bios/king_tyler_bdyv,MF,Jr.,"Center Valley, Pa.",Southern Lehigh,Moravian,III,2024
10,Jakob Braman,https://www.moraviansports.com/sports/msoc/2024-25/bios/braman_jakob_fsgz,F,Sr.,"Wind Gap, Pa.",Nazareth,Moravian,III,2024
11,Kyle Weiss,https://www.moraviansports.com/sports/msoc/2024-25/bios/weiss_kyle_e0hu,MF/D,Sr.,"Franklin Township, N.J.",North Hunterdon,Moravian,III,2024
12,Zach Nicholas,https://www.moraviansports.com/sports/msoc/2024-25/bios/nicholas_zach_cvw6,F,Gr.,"Hellertown, Pa.",Saucon Valley,Moravian,III,2024
13,Colin Woehlcke,https://www.moraviansports.com/sports/msoc/2024-25/bios/woehlcke_colin_b2o5,MF,So.,"Collegeville, Pa.",Springside Chestnut Hill Academy,Moravian,III,2024
14,Dan Ingersoll,https://www.moraviansports.com/sports/msoc/2024-25/bios/ingersoll_dan_cj9j,MF,Sr.,"Lambertville, N.J.",South Hunterdon,Moravian,III,2024
15,Sean Kirwin,https://www.moraviansports.com/sports/msoc/2024-25/bios/kirwin_sean_23rk,MF,Fr.,"Woolwich Township, N.J.",Kingsway Regional,Moravian,III,2024
16,Nick Milonas,https://www.moraviansports.com/sports/msoc/2024-25/bios/milonas_nick_jsab,MF,So.,"Stroudsburg, Pa.",Stroudsburg,Moravian,III,2024
17,Rafi Sanjuan,https://www.moraviansports.com/sports/msoc/2024-25/bios/sanjuan_rafi_cim1,MF,So.,"Freemansburg, Pa.",Moravian Academy,Moravian,III,2024
18,Cole Stevens,https://www.moraviansports.com/sports/msoc/2024-25/bios/stevens_cole_y2jf,D,Sr.,"Yardley, Pa.",Holy Ghost Prep.,Moravian,III,2024
19,Joe Petricoin,https://www.moraviansports.com/sports/msoc/2024-25/bios/petricoin_joe_f0ck,MF,Jr.,"Shillington, Pa.",Governor Mifflin,Moravian,III,2024
20,Aidan McMillan,https://www.moraviansports.com/sports/msoc/2024-25/bios/mcmillan_aidan_tfpy,D,So.,"Cherry Hill, N.J.",Cherry Hill West,Moravian,III,2024
21,Hunter Shay,https://www.moraviansports.com/sports/msoc/2024-25/bios/shay_hunter_u5as,MF,Sr.,"Bensalem, Pa.",Bensalem,Moravian,III,2024
22,Ryan Goldberg,https://www.moraviansports.com/sports/msoc/2024-25/bios/goldberg_ryan_ivaf,D,So.,"Titusville, N.J.",Hopewell Valley,Moravian,III,2024
23,Max Teneza,https://www.moraviansports.com/sports/msoc/2024-25/bios/teneza_max_i5ke,D,So.,"West Chester, Pa.",B. Reed Henderson,Moravian,III,2024
24,Owen Smith,https://www.moraviansports.com/sports/msoc/2024-25/bios/smith_owen_g917,MF,Fr.,"Glenside, Pa.",Upper Dublin High School,Moravian,III,2024
25,Enzo Petruzzelli,https://www.moraviansports.com/sports/msoc/2024-25/bios/petruzzelli_enzo_0l9q,F,Fr.,"Warminster, Pa.",Archbishop Wood,Moravian,III,2024
26,Nathan Bonvallet,https://www.moraviansports.com/sports/msoc/2024-25/bios/bonvallet_nathan_y4db,MF,Jr.,"Wooster, Ohio",Wooster,Moravian,III,2024
27,Kyle Ingersoll,https://www.moraviansports.com/sports/msoc/2024-25/bios/ingersoll_kyle_qw4f,D,Fr.,"Lambertville, N.J.",South Hunterdon,Moravian,III,2024
28,Jackson Lombardi,https://www.moraviansports.com/sports/msoc/2024-25/bios/lombardi_jackson_uq28,D/MF,Fr.,"Doylestown, Pa.",Central Bucks West,Moravian,III,2024
29,Ryan Mullin,https://www.moraviansports.com/sports/msoc/2024-25/bios/mullin_ryan_98rt,D,Fr.,"Woolwich, N.J.",Kingsway Regional,Moravian,III,2024
30,Nick Marino,https://www.moraviansports.com/sports/msoc/2024-25/bios/marino_nick_5jvy,MF,Fr.,"Oreland, Pa.",Springfield Township,Moravian,III,2024
31,Colin Moyer,https://www.moraviansports.com/sports/msoc/2024-25/bios/moyer_colin_s713,F,Fr.,"Sellersville, Pa.",Faith Christian Academy,Moravian,III,2024
32,Owen Carey,https://www.moraviansports.com/sports/msoc/2024-25/bios/carey_owen_05jc,D,Fr.,"Sparta, N.J.",Sparta,Moravian,III,2024
33,Gavin Murray,https://www.moraviansports.com/sports/msoc/2024-25/bios/murray_gavin_a25m,MF/D,Fr.,"Cherry Hill, N.J.",Cherry Hill West,Moravian,III,2024
34,Jake Fiore,https://www.moraviansports.com/sports/msoc/2024-25/bios/fiore_jake_xxfh,D/MF,Fr.,"Marlton, N.J.",Cherokee,Moravian,III,2024
35,Antonio Del Priore,https://www.moraviansports.com/sports/msoc/2024-25/bios/del_priore_antonio_r2vo,D,Fr.,"Northampton, Pa.",Northampton,Moravian,III,2024
37,Joey Roth,https://www.moraviansports.com/sports/msoc/2024-25/bios/roth_joey_ptd9,F,Fr.,"Doylestown, Pa.",Central Bucks East,Moravian,III,2024
44,Evan Hubert,https://www.moraviansports.com/sports/msoc/2024-25/bios/hubert_evan_ls49,D,Fr.,"Wyncote, Pa",Roman Catholic,Moravian,III,2024
56,Reed Sturza,https://www.moraviansports.com/sports/msoc/2024-25/bios/sturza_reed_dms5,F,Gr.,"New Britain, Pa.",Central Bucks West,Moravian,III,2024
88,Ben Scary,https://www.moraviansports.com/sports/msoc/2024-25/bios/scary_ben_4mj4,F,Sr.,"Quakertown, Pa.",Pennridge,Moravian,III,2024
0,Noah Emmons,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/emmons_noah_zzgm,GK,Fr.,Louisville,Louisville,Muskingum,III,2024
2,Alex Innocenti,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/innocenti_alex_xoh1,D,Fr.,Wadsworth,Wadsworth,Muskingum,III,2024
3,Tyler Valley,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/valley_tyler_l58x,D,Jr.,Bellbrook,Bellbrook,Muskingum,III,2024
4,Noah Williams,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/williams_noah_p0e0,D,Fr.,Caledonia,River Valley,Muskingum,III,2024
5,Brayden Tingler,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/tingler_brayden_121a,F,Fr.,Parkersburg,Parkersburg,Muskingum,III,2024
6,Abdikani Mohamed,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/mohamed_abdikani_fon6,M,Sr.,Columbus,Zenith Academy,Muskingum,III,2024
7,Mikai Thiam,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/thiam_mikai_duz8,M,Fr.,Lewis Center,Olentangy Orange,Muskingum,III,2024
8,Luca Danley,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/danley_luca_0fj8,M,Fr.,"Pittsburg, Pa.",Mount Lebanon,Muskingum,III,2024
9,Avery Warix,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/warix_avery_86av,D,Jr.,Wilmington,Wilmington,Muskingum,III,2024
11,Keaton Taylor,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/taylor_keaton_tj1q,M/F,Jr.,Pickerington,Pickerington Central,Muskingum,III,2024
12,Jeremy Fuller,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/fuller_jeremy_wghj,M,Jr.,Cincinnati,Lakota West,Muskingum,III,2024
13,Colton Cunningham,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/cunningham_colton_i85k,D,Jr.,Chesterhill,Morgan,Muskingum,III,2024
14,David Carlson,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/carlson_david_z9h2,F,Sr.,"Yakota, Japan",Yakota,Muskingum,III,2024
15,Kia Fowler,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/fowler_kia_7dg5,M,Sr.,"Okinawa, Japan",Kubasaki,Muskingum,III,2024
16,Terrance Wright,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/wright_terrance_06mp,M,Jr.,"Parkersburg, W. Va.",Parkersburg,Muskingum,III,2024
17,Garrett Pugh,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/pugh_garrett_vzs9,D/M,So.,Zanesville,Bishop Rosecrans,Muskingum,III,2024
18,Noah Walker,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/walker_noah_xuip,M,Fr.,"Hebron, Ky.",Conner,Muskingum,III,2024
19,Brice Hiner,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/hiner_brice_4unb,M,Fr.,Akron,Conventry,Muskingum,III,2024
21,Morgan McKenna,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/mckenna_morgan_vnwg,D,Sr.,"Tamuning, Guam",Father Duenas Memorial,Muskingum,III,2024
22,Will Bullock,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/bullock_will_7r59,F,Jr.,Warsaw,Riverview,Muskingum,III,2024
23,Jacob Gulu,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/gulu_jacob_wq6p,M,Jr.,Campbell,Hubbard,Muskingum,III,2024
24,Landon Daugherty,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/daugherty_landon_l7pr,D,Fr.,Canton,Perry,Muskingum,III,2024
25,Sean O'Grady,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/o-grady_sean_ozsr,D,So.,St. Clairsville,St. Clairsville,Muskingum,III,2024
26,Levi Sanders,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/sanders_levi_ho66,D,So.,Westerville,Westerville North,Muskingum,III,2024
27,Ryan Watson,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/watson_ryan_wd5j,D,Sr.,Zanesville,Zanesville,Muskingum,III,2024
28,Andrew Filippis,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/filippis_andrew_jhhf,F,Jr.,Cambridge,Cambridge,Muskingum,III,2024
29,Sam Rosa Jr,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/rosa_jr_sam_38gi,M,Fr.,Delaware,Rutherford B. Hayes,Muskingum,III,2024
30,Andrew LaPlante,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/laplante_andrew_1hss,GK,So.,Cambridge,Cambridge,Muskingum,III,2024
31,Evan Laraba,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/laraba_evan_r6wx,GK,Jr.,"Beckly, W. Va.",Woodrow Wilson,Muskingum,III,2024
32,Hunter Wallace,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/wallace_hunter_qo9o,GK,Fr.,Philo,Philo,Muskingum,III,2024
33,Deaton Shade,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/shade_deaton_xs5u,D,Fr.,Miamisburg,Miamisburg,Muskingum,III,2024
34,Max Menke,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/menke_max_k2io,M,Fr.,Finneytown,Finneytown,Muskingum,III,2024
35,Kanon Riehl,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/riehl_kanon_0tvj,M,Fr.,New Concord,John Glenn,Muskingum,III,2024
36,Hunter Keivens,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/keivens_hunter_gy3q,M,So.,Holland,Springfield,Muskingum,III,2024
38,Caleb Lauvray,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/lauvray_caleb_5k7i,D,Fr.,Thornville,Liberty Union,Muskingum,III,2024
39,Lucas Hanson,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/hanson_lucas_z9qd,D,So.,"Kerrville, Texas",Home School,Muskingum,III,2024
40,Thomas Maier,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/maier_thomas_qnw9,M,Sr.,"Keinberg, Germany",University of Passau,Muskingum,III,2024
41,Daniel Diermeier,https://www.fightingmuskies.com/sports/msoc/2024-25/bios/diermeier_daniel_z85a,D,Sr.,"Munich, Germany",University of Passau,Muskingum,III,2024
1,Hossam Aly,https://www.psu.edu/sports/msoc/2024-25/bios/aly_hossam_h5x9,GK,Gr.,"Harrisburg, Pa.",Central Dauphin East,Penn St. Harrisburg,III,2024
2,Jordan Perkins,https://www.psu.edu/sports/msoc/2024-25/bios/perkins_jordan_3r65,D,Sr.,"Waldorf, Md.",North Point,Penn St. Harrisburg,III,2024
3,Malachi Abma,https://www.psu.edu/sports/msoc/2024-25/bios/abma_malachi_vwhd,D,Jr.,"Gettysburg, Pa.",Gettysburg,Penn St. Harrisburg,III,2024
4,Tyler Madairy,https://www.psu.edu/sports/msoc/2024-25/bios/madairy_tyler_aq7h,M,Sr.,"Cambridge, Md.",Broadneck,Penn St. Harrisburg,III,2024
5,Alex Afata,https://www.psu.edu/sports/msoc/2024-25/bios/afata_alex_qha0,D,Sr.,"Manchester, Pa.",Northeastern,Penn St. Harrisburg,III,2024
6,Noah Cahoon,https://www.psu.edu/sports/msoc/2024-25/bios/cahoon_noah_2hxy,D,Sr.,"Gainesville, Fla.",Mountain View,Penn St. Harrisburg,III,2024
7,Colin O'Hara,https://www.psu.edu/sports/msoc/2024-25/bios/o-hara_colin_f5hf,D,So.,"Warrington, Pa.",Central Bucks South,Penn St. Harrisburg,III,2024
8,Alexander Benbatoul,https://www.psu.edu/sports/msoc/2024-25/bios/benbatoul_alexander_sjmx,M,Jr.,"Ashburn, Va.",Briar Woods,Penn St. Harrisburg,III,2024
9,Liam Gohn,https://www.psu.edu/sports/msoc/2024-25/bios/gohn_liam_60rp,F,Sr.,"York, Pa.",Spring Grove,Penn St. Harrisburg,III,2024
10,Cole Isaacs,https://www.psu.edu/sports/msoc/2024-25/bios/isaacs_cole_dm12,D,Jr.,"Weddington, N.C.",Weddington,Penn St. Harrisburg,III,2024
11,Kobe Harris,https://www.psu.edu/sports/msoc/2024-25/bios/harris_kobe_k1ns,F,Sr.,"Leonardtown, Md.",Leonardtown,Penn St. Harrisburg,III,2024
12,Griffen Martello,https://www.psu.edu/sports/msoc/2024-25/bios/martello_griffen_e4q0,M,Sr.,"Cherry Hill, N.J.",Cherry Hill West,Penn St. Harrisburg,III,2024
13,Kristopher Lage,https://www.psu.edu/sports/msoc/2024-25/bios/lage_kristopher_2u9i,170,So.,"Northglenn, Colo.",Northglenn,Penn St. Harrisburg,III,2024
14,Byron Hines,https://www.psu.edu/sports/msoc/2024-25/bios/hines_byron_hcnd,D,Fr.,"Dallas, Texas",North Garland,Penn St. Harrisburg,III,2024
15,Jaden Longdon,https://www.psu.edu/sports/msoc/2024-25/bios/longdon_jaden_huf8,F,Sr.,"East Stroudsburg, Pa.",East Stroudsburg South,Penn St. Harrisburg,III,2024
16,Bo Shirk,https://www.psu.edu/sports/msoc/2024-25/bios/shirk_bo_ivfm,M,Fr.,"Hershey, Pa.",Hershey,Penn St. Harrisburg,III,2024
17,James Manns,https://www.psu.edu/sports/msoc/2024-25/bios/manns_james_htbq,M,Sr.,"Sacramento, Calif.",Cosumnes Oaks,Penn St. Harrisburg,III,2024
18,Aidan McWilliams,https://www.psu.edu/sports/msoc/2024-25/bios/mcwilliams_aidan_4prh,D,Jr.,"Newnan, Ga.",Landmark Christian,Penn St. Harrisburg,III,2024
19,McKinley Joseph,https://www.psu.edu/sports/msoc/2024-25/bios/joseph_mckinley_qsvt,M,Gr.,"Stamford, Conn.",King School,Penn St. Harrisburg,III,2024
20,Dylan Ratjavong,https://www.psu.edu/sports/msoc/2024-25/bios/ratjavong_dylan_tapx,D,Jr.,"Gordonville, Pa.",Pequea Valley,Penn St. Harrisburg,III,2024
21,Zachary Cabiling,https://www.psu.edu/sports/msoc/2024-25/bios/cabiling_zachary_lm9l,D,So.,"Auckland, New Zealand",University of Auckland,Penn St. Harrisburg,III,2024
